Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,086079,1919,24.0,27.1,20.2,20.7,16.9,13.5,12.1,14.1,16.3,18.8,21.6,24.5,19.2
IDCJAC0002,086079,1920,22.7,26.1,21.9,18.2,14.3,13.1,13.0,13.2,15.7,18.4,19.8,23.2,18.3
IDCJAC0002,086079,1921,25.4,26.2,22.9,19.6,16.8,13.7,13.1,13.2,16.8,17.4,21.2,21.1,18.9
IDCJAC0002,086079,1922,23.9,25.6,26.1,19.3,15.8,13.1,13.4,13.1,15.1,17.6,20.3,22.3,18.8
IDCJAC0002,086079,1923,22.8,23.7,21.7,21.7,16.4,13.2,12.2,13.6,14.7,17.1,18.9,22.0,18.2
IDCJAC0002,086079,1924,23.5,22.6,21.5,16.7,15.2,12.3,null,null,null,null,null,null,null
IDCJAC0002,086079,1925,null,null,null,null,null,null,null,null,null,18.7,20.7,22.2,null
IDCJAC0002,086079,1932,25.8,22.3,21.7,18.9,15.8,13.3,12.4,13.7,16.8,16.2,21.2,21.7,18.3
IDCJAC0002,086079,1933,22.8,25.0,24.3,19.7,15.8,14.9,13.5,13.3,15.7,18.3,21.0,25.8,19.2
IDCJAC0002,086079,1934,26.9,26.2,27.5,18.3,17.8,13.6,13.8,15.4,17.2,17.2,21.1,22.6,19.8
IDCJAC0002,086079,1935,23.8,25.4,22.3,18.4,15.8,14.2,12.9,14.7,16.6,18.7,20.7,23.8,18.9
IDCJAC0002,086079,1936,26.4,26.1,26.2,18.0,17.2,13.6,12.7,13.9,14.1,17.8,20.2,23.5,19.1
IDCJAC0002,086079,1937,22.9,25.2,25.3,19.2,15.9,12.9,13.6,15.4,16.8,19.8,23.4,24.3,19.6
IDCJAC0002,086079,1938,26.3,26.5,22.9,23.2,19.2,13.6,12.9,14.1,16.3,19.9,22.1,22.8,20.0
IDCJAC0002,086079,1939,26.9,27.2,23.4,20.0,17.5,14.0,12.4,12.8,15.1,17.6,19.5,21.6,19.0
IDCJAC0002,086079,1940,25.4,23.4,27.8,19.4,15.6,13.6,13.1,14.4,17.3,21.6,19.6,24.8,19.7
IDCJAC0002,086079,1941,24.0,24.3,21.3,21.6,17.2,13.6,12.6,13.8,15.4,16.2,20.1,22.9,18.6
IDCJAC0002,086079,1942,24.5,24.7,23.2,18.7,15.3,13.5,12.6,13.6,16.2,18.9,20.3,23.4,18.7
IDCJAC0002,086079,1943,25.6,23.1,22.5,17.8,14.9,12.1,11.9,12.4,15.0,17.0,19.6,21.7,17.8
IDCJAC0002,086079,1944,25.3,23.6,22.6,17.2,15.6,12.7,12.3,12.9,16.3,17.9,20.4,23.1,18.3
IDCJAC0002,086079,1945,23.9,22.4,19.6,17.6,15.3,14.7,11.3,13.8,15.3,16.9,20.8,24.4,18.0
IDCJAC0002,086079,1946,25.1,22.8,21.1,17.1,15.5,12.3,12.7,12.6,14.1,15.4,19.8,21.3,17.5
IDCJAC0002,086079,1947,24.9,27.3,22.5,19.5,18.1,13.3,12.4,12.9,14.8,16.8,18.9,22.7,18.7
IDCJAC0002,086079,1948,22.9,24.9,19.9,18.2,14.8,13.1,11.6,13.8,16.1,16.6,19.3,23.1,17.9
IDCJAC0002,086079,1949,23.9,21.8,20.9,17.1,14.9,11.8,12.6,13.6,15.6,17.4,19.5,20.6,17.5
IDCJAC0002,086079,1950,22.9,22.8,22.1,19.2,15.5,12.4,13.0,14.2,17.3,18.8,20.8,26.8,18.8
IDCJAC0002,086079,1951,29.2,26.8,24.7,16.8,15.6,14.2,12.6,12.5,15.9,18.4,20.2,22.9,19.1
IDCJAC0002,086079,1952,24.5,23.2,23.0,17.6,14.8,13.1,12.2,13.3,15.8,17.7,20.1,22.4,18.1
IDCJAC0002,086079,1953,24.3,24.3,23.9,20.5,16.5,12.8,12.6,13.5,15.7,18.7,19.9,22.9,18.8
IDCJAC0002,086079,1954,27.1,22.5,22.1,19.7,16.0,13.2,12.3,14.2,16.2,17.7,19.7,23.3,18.7
IDCJAC0002,086079,1955,25.4,25.1,22.4,19.8,15.3,12.6,12.1,13.2,16.0,18.2,18.6,22.3,18.4
IDCJAC0002,086079,1956,23.2,27.9,25.2,19.3,15.9,12.8,12.5,12.3,15.7,16.1,17.7,21.0,18.3
IDCJAC0002,086079,1962,25.7,24.2,24.7,20.1,14.7,14.1,12.9,13.2,15.5,16.0,19.9,22.7,18.6
IDCJAC0002,086079,1963,25.2,22.7,22.3,18.9,15.1,13.4,11.9,13.2,15.3,19.7,20.2,22.9,18.4
IDCJAC0002,086079,1964,23.8,23.0,21.8,19.0,16.3,13.7,12.3,13.6,15.3,17.1,20.3,19.7,18.0
IDCJAC0002,086079,1965,22.9,25.8,22.7,17.7,16.2,13.7,12.4,14.5,16.7,20.2,20.4,25.1,19.0
IDCJAC0002,086079,1966,26.5,23.8,24.0,19.8,16.1,13.3,12.4,14.0,16.9,18.5,21.5,22.8,19.1
IDCJAC0002,086079,1967,24.0,27.0,24.6,21.4,17.8,14.6,13.9,14.4,16.2,19.9,21.1,21.2,19.7
IDCJAC0002,086079,1968,27.2,27.8,24.9,21.6,14.9,13.4,12.3,13.9,15.6,17.9,20.1,22.7,19.4
IDCJAC0002,086079,1969,27.4,26.0,22.8,20.0,16.0,13.5,14.2,15.0,14.2,18.6,20.3,22.6,19.2
IDCJAC0002,086079,1970,24.6,25.3,23.9,20.8,15.5,14.7,13.8,13.8,15.0,18.4,21.2,23.7,19.2
IDCJAC0002,086079,1971,25.8,27.3,25.4,22.2,16.3,13.8,13.5,14.1,16.2,17.7,19.6,24.2,19.7
IDCJAC0002,086079,1972,25.5,28.0,24.1,20.8,18.0,14.2,13.4,15.0,18.4,19.6,21.7,26.9,20.5
IDCJAC0002,086079,1973,27.2,26.7,21.7,22.2,16.6,13.4,13.6,14.9,17.4,20.6,20.1,25.7,20.0
IDCJAC0002,086079,1974,29.0,26.1,27.4,20.0,17.9,15.3,14.0,14.4,15.8,18.8,20.6,23.5,20.2
IDCJAC0002,086079,1975,24.8,27.3,23.7,20.2,18.3,14.1,14.8,14.2,null,null,null,null,null
